Date,Price
08-03-2018,2082.5
09-03-2018,2078.5
12-03-2018,2097
13-03-2018,2080
14-03-2018,2096
15-03-2018,2062.5
16-03-2018,2069
19-03-2018,2070.5
20-03-2018,2073
21-03-2018,2056.5
22-03-2018,2059
23-03-2018,2049
26-03-2018,2022
27-03-2018,2035
28-03-2018,2009
29-03-2018,1997
03-04-2018,2010
04-04-2018,1972
05-04-2018,1969
06-04-2018,1967
09-04-2018,2113
10-04-2018,2171.5
11-04-2018,2253
12-04-2018,2220.5
13-04-2018,2325
16-04-2018,2358.5
17-04-2018,2375.5
18-04-2018,2528.5
19-04-2018,2602.5
20-04-2018,2463
23-04-2018,2452
24-04-2018,2222
25-04-2018,2248
26-04-2018,2204
27-04-2018,2249
30-04-2018,2224
01-05-2018,2258
02-05-2018,2269
03-05-2018,2349
04-05-2018,2316
08-05-2018,2384
09-05-2018,2295
10-05-2018,2327
11-05-2018,2273.5
14-05-2018,2285.5
15-05-2018,2313
16-05-2018,2319.5
17-05-2018,2280
18-05-2018,2297
21-05-2018,2278.5
22-05-2018,2265.5
23-05-2018,2227
24-05-2018,2271
25-05-2018,2282
29-05-2018,2260
30-05-2018,2265.5
31-05-2018,2285.5
01-06-2018,2271
04-06-2018,2324.5
05-06-2018,2314.5
06-06-2018,2317.5
07-06-2018,2331
08-06-2018,2287.5
11-06-2018,2300
12-06-2018,2309
13-06-2018,2278
14-06-2018,2277.5
15-06-2018,2239.5
18-06-2018,2220.5
19-06-2018,2179
20-06-2018,2179
21-06-2018,2167
22-06-2018,2166
25-06-2018,2172
26-06-2018,2152
27-06-2018,2204.5
28-06-2018,2173
29-06-2018,2183
02-07-2018,2153
03-07-2018,2165
04-07-2018,2120.5
05-07-2018,2127
06-07-2018,2098.5
09-07-2018,2135.5
10-07-2018,2140.5
11-07-2018,2120.5
12-07-2018,2104.5
13-07-2018,2102
16-07-2018,2130
17-07-2018,2110
18-07-2018,2040
19-07-2018,2062
20-07-2018,2075
23-07-2018,2130
24-07-2018,2082
25-07-2018,2056.5
26-07-2018,2054
27-07-2018,2055
30-07-2018,2054
31-07-2018,2061
01-08-2018,2036
02-08-2018,2023
03-08-2018,2016
06-08-2018,2000.5
07-08-2018,2026.5
08-08-2018,2022
09-08-2018,2118
10-08-2018,2039
13-08-2018,2052
14-08-2018,2038
15-08-2018,1994.5
16-08-2018,1998
17-08-2018,1999
20-08-2018,2033
21-08-2018,2040.5
22-08-2018,2038.5
23-08-2018,2021.5
24-08-2018,2062
28-08-2018,2088
29-08-2018,2116
30-08-2018,2127
31-08-2018,2112
03-09-2018,2083.5
04-09-2018,2040
05-09-2018,2046
06-09-2018,2030.5
07-09-2018,2030
10-09-2018,2000
11-09-2018,2035
12-09-2018,1981.5
13-09-2018,2014.5
14-09-2018,2015.5
17-09-2018,1985
18-09-2018,2012
19-09-2018,1981
20-09-2018,2018.5
21-09-2018,2034
24-09-2018,2035
25-09-2018,2020
26-09-2018,2056.5
27-09-2018,2030
28-09-2018,2011.5
01-10-2018,2047.5
02-10-2018,2080
03-10-2018,2166.5
04-10-2018,2243.5
05-10-2018,2140
08-10-2018,2073.5
09-10-2018,2031.5
10-10-2018,2029
11-10-2018,2024
12-10-2018,2045
15-10-2018,2028
16-10-2018,2022
17-10-2018,2018
18-10-2018,2007.5
19-10-2018,2022.5
22-10-2018,2002.5
23-10-2018,1997
24-10-2018,1987.5
25-10-2018,1981
26-10-2018,1961
29-10-2018,1980.5
30-10-2018,1952
31-10-2018,1946
01-11-2018,1961
02-11-2018,1967
05-11-2018,1959
06-11-2018,1950
07-11-2018,1951.5
08-11-2018,1977
09-11-2018,1964.5
12-11-2018,1934
13-11-2018,1925
14-11-2018,1931
15-11-2018,1917
16-11-2018,1914
19-11-2018,1918
20-11-2018,1927
21-11-2018,1945
22-11-2018,1941.5
23-11-2018,1922.5
26-11-2018,1920
27-11-2018,1925
28-11-2018,1912.5
29-11-2018,1933
30-11-2018,1935
03-12-2018,1982.5
04-12-2018,1985
05-12-2018,1966.5
06-12-2018,1945
07-12-2018,1962
10-12-2018,1951
11-12-2018,1949.5
12-12-2018,1928
13-12-2018,1924
14-12-2018,1908
17-12-2018,1937.5
18-12-2018,1940
19-12-2018,1928
20-12-2018,1923.5
21-12-2018,1920
24-12-2018,1898.5
27-12-2018,1898
28-12-2018,1881
31-12-2018,1869.5
02-01-2019,1858
03-01-2019,1825.5
04-01-2019,1879
07-01-2019,1858
08-01-2019,1837
09-01-2019,1842
10-01-2019,1844
11-01-2019,1816
14-01-2019,1775.5
15-01-2019,1810.5
16-01-2019,1839.5
17-01-2019,1804
18-01-2019,1851
21-01-2019,1842.5
22-01-2019,1867.5
23-01-2019,1877.5
24-01-2019,1851
25-01-2019,1866.5
28-01-2019,1860
29-01-2019,1853
30-01-2019,1871
31-01-2019,1880.5
01-02-2019,1872.5
04-02-2019,1840
05-02-2019,1896.5
06-02-2019,1886.5
07-02-2019,1862.5
08-02-2019,1865
11-02-2019,1848
12-02-2019,1840.5
13-02-2019,1840
14-02-2019,1829
15-02-2019,1828.5
18-02-2019,1822.5
19-02-2019,1833.5
20-02-2019,1829.5
21-02-2019,1858.5
22-02-2019,1890.5
25-02-2019,1886
26-02-2019,1870
27-02-2019,1898.5
28-02-2019,1893
01-03-2019,1890.5
04-03-2019,1859.5
05-03-2019,1868.5
06-03-2019,1846
07-03-2019,1841
08-03-2019,1848
11-03-2019,1830
12-03-2019,1851
13-03-2019,1873
14-03-2019,1873.5
15-03-2019,1868
18-03-2019,1879
19-03-2019,1907.5
20-03-2019,1923
21-03-2019,1891
22-03-2019,1867
25-03-2019,1856
26-03-2019,1849.5
27-03-2019,1898.5
28-03-2019,1896.5
29-03-2019,1900
01-04-2019,1888
02-04-2019,1858
03-04-2019,1865
04-04-2019,1872
05-04-2019,1864
08-04-2019,1858.5
