Date,Price
13-06-2017,54.01
14-06-2017,54.5
15-06-2017,54.51
16-06-2017,54.7
19-06-2017,54.8
20-06-2017,54.71
21-06-2017,54.65
22-06-2017,54.66
23-06-2017,54.73
26-06-2017,54.75
27-06-2017,55.25
28-06-2017,55.7
29-06-2017,55.79
30-06-2017,56.01
03-07-2017,65
05-07-2017,63.03
06-07-2017,62.11
07-07-2017,62.85
10-07-2017,63.11
11-07-2017,64.48
12-07-2017,64.09
13-07-2017,64.16
14-07-2017,64.92
17-07-2017,65.99
18-07-2017,65.74
19-07-2017,65.99
20-07-2017,65.49
21-07-2017,65.19
24-07-2017,65.39
25-07-2017,65.59
26-07-2017,65.54
27-07-2017,65.74
28-07-2017,65.87
31-07-2017,66.22
01-08-2017,71.57
02-08-2017,72.06
03-08-2017,72.37
04-08-2017,73.48
07-08-2017,74.65
08-08-2017,75.37
09-08-2017,74.8
10-08-2017,74.88
11-08-2017,73.76
14-08-2017,73.45
15-08-2017,73.35
16-08-2017,73.36
17-08-2017,74.14
18-08-2017,74.4
21-08-2017,74.39
22-08-2017,74.89
23-08-2017,74.82
24-08-2017,74.99
25-08-2017,74.97
28-08-2017,75.03
29-08-2017,75.05
30-08-2017,75.08
31-08-2017,75.11
01-09-2017,77.77
05-09-2017,77.68
06-09-2017,76.27
07-09-2017,75.36
08-09-2017,74.71
11-09-2017,74.78
12-09-2017,75.22
13-09-2017,74.94
14-09-2017,73.7
15-09-2017,73.5
18-09-2017,73.84
19-09-2017,71.8
20-09-2017,71.96
21-09-2017,72.06
22-09-2017,71.55
25-09-2017,70.5
26-09-2017,70.94
27-09-2017,70.56
28-09-2017,70
29-09-2017,69.77
02-10-2017,62.43
03-10-2017,62.86
04-10-2017,62.95
05-10-2017,62.84
06-10-2017,63.27
09-10-2017,61.26
10-10-2017,60.18
11-10-2017,59.26
12-10-2017,59.83
13-10-2017,60.63
16-10-2017,61.16
17-10-2017,60.89
18-10-2017,61.1
19-10-2017,60.39
20-10-2017,60.69
23-10-2017,60.7
24-10-2017,60.73
25-10-2017,60.72
26-10-2017,60.67
27-10-2017,60.53
30-10-2017,60.4
31-10-2017,60.31
01-11-2017,58.62
02-11-2017,59.45
03-11-2017,59.56
06-11-2017,62.74
07-11-2017,61.59
08-11-2017,62.59
09-11-2017,61.41
10-11-2017,61.79
13-11-2017,61.99
14-11-2017,61.79
15-11-2017,61.22
16-11-2017,61.6
17-11-2017,61.49
20-11-2017,61.77
21-11-2017,62.05
22-11-2017,62.99
24-11-2017,62.55
27-11-2017,63.09
28-11-2017,63.14
29-11-2017,63.15
30-11-2017,63.36
01-12-2017,70.43
04-12-2017,71.02
05-12-2017,69.88
06-12-2017,67.46
07-12-2017,67.41
08-12-2017,68.47
11-12-2017,68.61
12-12-2017,68.97
13-12-2017,69.34
14-12-2017,68.99
15-12-2017,69.09
18-12-2017,70.47
19-12-2017,70.4
20-12-2017,70.45
21-12-2017,70.71
22-12-2017,70.87
26-12-2017,71.01
27-12-2017,71.12
28-12-2017,71.28
29-12-2017,71.28
02-01-2018,73.9
03-01-2018,73.43
04-01-2018,74.61
05-01-2018,75.39
08-01-2018,76.99
09-01-2018,77.62
10-01-2018,77.4
11-01-2018,77.72
12-01-2018,77.37
16-01-2018,76.51
17-01-2018,76.27
18-01-2018,76.18
19-01-2018,76.68
22-01-2018,76.6
23-01-2018,75.96
24-01-2018,76.21
25-01-2018,76.21
26-01-2018,76.21
29-01-2018,76.1
30-01-2018,75.99
31-01-2018,75.86
01-02-2018,71.99
02-02-2018,72.94
05-02-2018,74.34
06-02-2018,74.43
07-02-2018,75.2
08-02-2018,75.69
09-02-2018,74.89
12-02-2018,75.65
13-02-2018,76.49
14-02-2018,76.67
15-02-2018,76.76
16-02-2018,76.89
20-02-2018,76.97
21-02-2018,77.18
22-02-2018,77.06
23-02-2018,77.11
26-02-2018,77.44
27-02-2018,77.37
28-02-2018,77.46
01-03-2018,78.42
02-03-2018,76.36
05-03-2018,75.36
06-03-2018,75.54
07-03-2018,74.51
08-03-2018,73.01
09-03-2018,72.01
12-03-2018,71.41
13-03-2018,72.33
14-03-2018,72.76
15-03-2018,73.01
16-03-2018,72.66
19-03-2018,71.84
20-03-2018,71.63
21-03-2018,71.55
22-03-2018,70.96
23-03-2018,70.26
26-03-2018,70.51
27-03-2018,70.35
28-03-2018,69.86
29-03-2018,69.7
02-04-2018,66.22
03-04-2018,64.35
04-04-2018,62.94
05-04-2018,62.67
06-04-2018,63.34
09-04-2018,63.92
10-04-2018,65.29
11-04-2018,64.28
12-04-2018,64.19
13-04-2018,64.62
16-04-2018,64.11
17-04-2018,64.27
18-04-2018,64.69
19-04-2018,65.49
20-04-2018,65.05
23-04-2018,65.19
24-04-2018,65.25
25-04-2018,65.22
26-04-2018,65.29
27-04-2018,65.27
30-04-2018,65.27
01-05-2018,65.49
02-05-2018,67.44
03-05-2018,66.72
04-05-2018,66.98
07-05-2018,66.69
08-05-2018,66.99
09-05-2018,66.2
10-05-2018,66.49
11-05-2018,67.49
14-05-2018,67.59
15-05-2018,67.58
16-05-2018,67.3
17-05-2018,67.26
18-05-2018,67.03
21-05-2018,66.85
22-05-2018,66.51
23-05-2018,66.35
24-05-2018,66.36
25-05-2018,66.26
29-05-2018,66.27
30-05-2018,66.02
31-05-2018,65.95
01-06-2018,64.53
04-06-2018,64.56
05-06-2018,64.78
06-06-2018,65.17
07-06-2018,65.17
08-06-2018,64.74
11-06-2018,65.18
12-06-2018,65.4
13-06-2018,65.34
14-06-2018,65.56
15-06-2018,65.39
18-06-2018,65.3
19-06-2018,65.01
20-06-2018,65.01
21-06-2018,64.93
22-06-2018,64.89
25-06-2018,64.88
26-06-2018,64.91
27-06-2018,64.85
28-06-2018,64.81
29-06-2018,64.8
02-07-2018,64.13
03-07-2018,64.09
05-07-2018,63.06
06-07-2018,62.99
09-07-2018,63.13
10-07-2018,63.19
11-07-2018,63.18
12-07-2018,63.21
13-07-2018,63.24
16-07-2018,63.33
17-07-2018,63.1
18-07-2018,63.3
19-07-2018,63.58
20-07-2018,63.61
23-07-2018,63.73
24-07-2018,63.83
25-07-2018,63.87
26-07-2018,63.93
27-07-2018,64.08
30-07-2018,64.2
31-07-2018,64.35
01-08-2018,66.66
02-08-2018,66.86
03-08-2018,68.24
06-08-2018,69.08
07-08-2018,69.35
08-08-2018,68.81
09-08-2018,68.94
10-08-2018,68.58
13-08-2018,68.55
14-08-2018,67.96
15-08-2018,67.72
16-08-2018,67.59
17-08-2018,67.99
20-08-2018,67.95
21-08-2018,67.65
22-08-2018,67.69
23-08-2018,67.54
24-08-2018,67.48
27-08-2018,67.42
28-08-2018,67.35
29-08-2018,67.28
30-08-2018,67.21
31-08-2018,67.16
04-09-2018,66.64
05-09-2018,67.22
06-09-2018,68.13
07-09-2018,68.07
10-09-2018,68.17
11-09-2018,67.78
12-09-2018,67.98
13-09-2018,68.31
14-09-2018,68.43
17-09-2018,68.57
18-09-2018,68.59
19-09-2018,68.67
20-09-2018,68.67
21-09-2018,68.69
24-09-2018,68.68
25-09-2018,68.62
26-09-2018,68.66
27-09-2018,68.69
28-09-2018,68.73
01-10-2018,68.4
02-10-2018,68.84
03-10-2018,69.08
04-10-2018,68.51
05-10-2018,69.24
08-10-2018,69.29
09-10-2018,70.09
10-10-2018,70.39
11-10-2018,70.24
12-10-2018,70.49
15-10-2018,70.56
16-10-2018,70.58
17-10-2018,71.4
18-10-2018,71.4
19-10-2018,71.4
22-10-2018,71.71
23-10-2018,71.79
24-10-2018,72.05
25-10-2018,72.22
26-10-2018,72.41
29-10-2018,72.58
30-10-2018,72.7
31-10-2018,72.81
01-11-2018,72.99
02-11-2018,72.92
05-11-2018,73.9
06-11-2018,74.18
07-11-2018,74.18
08-11-2018,75.01
09-11-2018,75.58
12-11-2018,75.27
13-11-2018,74.98
14-11-2018,74.81
15-11-2018,74.95
16-11-2018,75.08
19-11-2018,75.3
20-11-2018,74.88
21-11-2018,74.86
23-11-2018,74.21
26-11-2018,73.58
27-11-2018,73.14
28-11-2018,72.92
29-11-2018,72.6
30-11-2018,72.28
03-12-2018,65.57
04-12-2018,66.83
05-12-2018,67.55
06-12-2018,66
07-12-2018,66.76
10-12-2018,66.51
11-12-2018,66.74
12-12-2018,66.82
13-12-2018,67.26
14-12-2018,67.89
17-12-2018,68.12
18-12-2018,68.49
19-12-2018,68.69
20-12-2018,69.12
21-12-2018,68.99
24-12-2018,68.79
26-12-2018,68.83
27-12-2018,69
28-12-2018,69.2
31-12-2018,69.2
02-01-2019,71.06
03-01-2019,72.23
04-01-2019,73.09
07-01-2019,74.15
08-01-2019,74.21
09-01-2019,74.06
10-01-2019,73.98
11-01-2019,74.22
14-01-2019,74.21
15-01-2019,74.31
16-01-2019,74.43
17-01-2019,74.51
18-01-2019,75.15
22-01-2019,74.55
23-01-2019,74.58
24-01-2019,74.61
25-01-2019,74.64
28-01-2019,75.3
29-01-2019,75.49
30-01-2019,75.6
31-01-2019,76.03
01-02-2019,86.93
04-02-2019,86.53
05-02-2019,88.16
06-02-2019,88.98
07-02-2019,92.29
08-02-2019,92.13
11-02-2019,90.82
12-02-2019,88.44
13-02-2019,88.02
14-02-2019,88.35
15-02-2019,88.56
19-02-2019,88.53
20-02-2019,88.46
21-02-2019,88.03
22-02-2019,88.16
25-02-2019,87.94
26-02-2019,87.7
27-02-2019,87.47
28-02-2019,87.33
01-03-2019,85.98
04-03-2019,85.42
05-03-2019,86.51
06-03-2019,85.79
07-03-2019,86.76
08-03-2019,85.15
11-03-2019,84.53
12-03-2019,85.31
13-03-2019,85.01
14-03-2019,85.98
15-03-2019,86.12
18-03-2019,86.28
19-03-2019,86.23
20-03-2019,85.41
21-03-2019,85.65
22-03-2019,85.89
25-03-2019,85.82
26-03-2019,85.8
27-03-2019,85.72
28-03-2019,85.64
29-03-2019,85.7
01-04-2019,87.52
02-04-2019,89.5
03-04-2019,92.15
04-04-2019,92.53
05-04-2019,91.81
08-04-2019,93.63
09-04-2019,92.72
10-04-2019,92.6
11-04-2019,93.6
12-04-2019,93.79
15-04-2019,93.97
16-04-2019,93.44
17-04-2019,92.96
18-04-2019,92.91
22-04-2019,93.2
23-04-2019,93.29
24-04-2019,92.95
25-04-2019,93.14
26-04-2019,93.16
29-04-2019,93.17
30-04-2019,93.24
01-05-2019,93.65
02-05-2019,93.6
03-05-2019,93.81
06-05-2019,93.51
07-05-2019,94.75
08-05-2019,94.19
09-05-2019,94.24
10-05-2019,95.08
13-05-2019,94.38
14-05-2019,93.88
15-05-2019,94.82
16-05-2019,96.13
17-05-2019,96.34
20-05-2019,96.38
21-05-2019,96.56
22-05-2019,97.04
23-05-2019,97.31
24-05-2019,98.14
28-05-2019,98.38
29-05-2019,98.59
30-05-2019,98.72
31-05-2019,98.76
03-06-2019,96.28
04-06-2019,98.39
05-06-2019,98.32
06-06-2019,97.76
07-06-2019,97.78
10-06-2019,99.26
11-06-2019,102.76
12-06-2019,102.99
13-06-2019,106.29
